"RepoRelPath","Extension","SizeBytes","SHA256","Purpose","Contents","CategoryLabel","EvidenceType","FailureExplanation","SourcePath","ExtractOrFull","Notes"
"EVIDENCE_MAP.md",".md","1284","93CF39903EB591CD92DF951D5657D667B5F9F91DE12E49C69D1B1378D9FCC264","Explain how to locate evidence and interpret the repo structure after extraction.","Scope policy, navigation map, and the primary indices for tracing sources.","","","","","",""
"LICENSE","","11358","2F0F54E6662F199F6A22B28D9B714C2D74F4410DE1DD5445D281FEDEA76EC05F","Repository license (Apache 2.0).","Full Apache License text.","","","","","",""
"README.md",".md","4486","8CABFCE8FF2744B9478C6BB5F4747F5326EAD4BACCD3F173B64CCC29BBF4A499","Orient readers and provide the definitive map to the evidence in this repository.","Repository overview, key finding, navigation instructions, and citation.","","","","","",""
"REVIEWER_GUIDE.md",".md","1605","6A606F8019EB9B4F6380F5916FDEDEB555B76D8B640B67157B0007F8915CF0BC","Provide a fast verification path and a deep‑audit path for reviewers.","Step‑by‑step audit flow, key checks, and how to trace evidence in this repo.","","","","","",""
"extracts/README.md",".md","711","D281079B14B5D4FD64A2E22065E21F38F4ACC0CDBD19C66C124CCA3569DB704C","Short, citable excerpts with metadata explaining why each item matters.","Folder overview and links to extract categories.","","","","","",""
"extracts/01_transcripts/2026-01-29__2025_08_22_this_session_is_being_continued_from_a_previous_co__summary__001.md",".md","812","1F8D231FBD0C79FB15F9FCDDD54ABE914FCFFB4C31C49049361566C0E40AD546","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/2025-08-22-this-session-is-being-continued-from-a-previous-co.txt","extract",""
"extracts/01_transcripts/2026-01-29__2025_08_22_yoyo__summary__001.md",".md","709","5DA2270B6C2A53124745C96554E0B53CC323AD0CD4290290D81BBD574C080B66","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/2025-08-22-yoyo.txt","extract",""
"extracts/01_transcripts/2026-01-29__chat_Strong_Normalization_for_the_Safe_Fragment_1__summary__001.md",".md","2637","2BF21276C8F5C6E2542882AEF9B76268A0A3DC7DA8961ECCD81998DD1FA44A75","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/chat_Strong Normalization for the Safe Fragment (1).md","extract",""
"extracts/01_transcripts/2026-01-29__chatgpt_turing__summary__001.md",".md","827","C5DEACA9D23140AC244AD53B6222A34EF158FA2D63315EA4018DE621AB44FBEA","Evidence extract (transcripts/transcript) documenting a failure or relevance; Duplicate of FRV2-0482.","Metadata header + excerpt from the source file.","transcripts","transcript","Duplicate of FRV2-0482.","MUST_Review/chatgpt-turing copy.md","extract",""
"extracts/01_transcripts/2026-01-29__CONVERSATION_BACKUP_COMPLETE__summary__001.md",".md","1226","1A6E5CB5F12378DD9718CC0D209311D7D83000C8E8B94D3B74D891787EF2F52E","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/CONVERSATION_BACKUP_COMPLETE.md","extract",""
"extracts/01_transcripts/2026-01-29__important_claude_repo_config_chat__summary__001.md",".md","918","EBED47FFE0E9994117F23A2034845880100AFE536A89F683B9713A31D304CCEC","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/important-claude-repo-config-chat.txt","extract",""
