"RelPath","FullName","Extension","SizeBytes","LastWriteTime","TopLevel","SHA256","Category","CategoryLabel","EvidenceType","Model","Date","TestType","FailureMode","FailureExplanation","Description","Relevance","ExtractPath","FullIncludePath","Notes","Status"
"MUST_Review\Docs\Agent.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Agent.html",".html","19004","2025-08-18 01:27:54","Docs","C3B7C5C5F1942FBFC8663E25F926A8191AFC79DE9BB08C6D657BE35361ACB30A","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Agent - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Agent__html__001.md","","","complete"
"MUST_Review\Docs\Arithmetic.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Arithmetic.html",".html","7188","2025-08-18 01:27:54","Docs","2624282190A494B7B33F29CCB419305327ABC3D2666DBED693F0A889D2BED4BB","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Arithmetic - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Arithmetic__html__001.md","","","complete"
"MUST_Review\Docs\Complement.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Complement.html",".html","8270","2025-08-18 01:27:54","Docs","C268F166C694F9293B70FC5234270E34DBF6BDABA790B58BA2F88E40AE448DF2","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Complement - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complement__html__001.md","","","complete"
"MUST_Review\Docs\Complete_Core_Documentation.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Complete_Core_Documentation.html",".html","107623","2025-08-18 01:27:54","Docs","A36563253D523E9768FA586B7F1A9BF791916D6B943B06776BDFAD9140E85825","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Complete_Core_Documentation - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complete_Core_Documentation__html__001.md","","","complete"
"MUST_Review\Docs\Complete_Guide.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Complete_Guide.html",".html","56053","2025-08-18 01:27:54","Docs","182C6D8574A9EB66EDE6DCA31D64CCBE0353E82BA76D258FD9ED9FFF1AE0FD51","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Complete_Guide - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complete_Guide__html__001.md","","","complete"
"MUST_Review\Docs\Confluence.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Confluence.html",".html","6643","2025-08-18 01:27:54","Docs","99FF8FEAC527569A69A2A20CC35C4786BD8D6BB444602F040AE7C8E8D272F667","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Confluence - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Confluence__html__001.md","","","complete"
"MUST_Review\Docs\Custom_Core_Documentation.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Custom_Core_Documentation.html",".html","24958","2025-08-18 01:27:54","Docs","4E2DF87F7CB59EFA95DDE62C6B4C3B4CC800525D7213DA7CD4A455517C49562E","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Custom_Core_Documentation","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Custom_Core_Documentation__html__001.md","","","complete"
"MUST_Review\Docs\Custom_Selection_Combined.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Custom_Selection_Combined.html",".html","93799","2025-08-18 01:27:54","Docs","0E3C03114933760D4648E1C9820D56847F84C0250AA579A9972A4076851F2B0A","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Custom_Selection Combined","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Custom_Selection_Combined__html__001.md","","","complete"
"MUST_Review\Docs\Equality.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Equality.html",".html","8329","2025-08-18 01:27:54","Docs","1202482A7834562A6FA7D139A0E556F1842710D717C1B97639DE444F2985D105","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Equality - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Equality__html__001.md","","","complete"
"MUST_Review\Docs\FixedPoint.html","C:\Users\Moses\OpComp\MUST_Review\Docs\FixedPoint.html",".html","8050","2025-08-18 01:27:54","Docs","E112BED8AADEA4E7503E75CFC1A6715BCA7EF751B19AF982F464051E924161FE","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: FixedPoint - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__FixedPoint__html__001.md","","","complete"
